Time,x,z,vx,vz,NormalForce,TangentialStress,MinimunBendingMoment
0,0.297345064170837,0.474537577872649,0,-1.5,0,-176.58,-123.606
0.012,0.297314371325779,0.455899135238404,-0.00767863340221446,-1.60069670726268,-23.0620314034888,-125.200460000951,-87.6403220006656
0.024,0.2970990530516,0.436260135092997,-0.0308121129152149,-1.66657428826647,-46.5236241042897,-72.1393386399952,-50.4975370479967
0.036,0.296511531753533,0.416044538445063,-0.0697328061966098,-1.69669896976311,-70.1394011363308,-18.2183332255232,-12.7528332578663
0.048,0.295360100891432,0.395684662860337,-0.125082886728566,-1.69047288990288,-96.1245486345132,36.9263580764595,25.8484506535216
0.06,0.293440674207234,0.375619132724014,-0.197537738102161,-1.64782955230081,-120.114888779939,90.2824526345428,63.1977168441799
0.072,0.290563161898929,0.356273649704662,-0.284215080510596,-1.57087220043526,-139.616415789594,140.177806538633,98.1244645770432
0.084,0.286565864266521,0.338049377566941,-0.384726711784237,-1.46096830045026,-163.230426037479,189.617230760931,132.732061532651
0.096,0.281264198502472,0.321339281805132,-0.501493393721028,-1.31891444486237,-186.870056136787,235.862666834932,165.103866784452
0.108,0.274468649480864,0.306513027261933,-0.633534598375525,-1.14750110129865,-208.792075396157,277.49339111629,194.245373781403
0.12,0.266006646765635,0.293902406673319,-0.778393953013012,-0.950416137615493,-223.711237386695,312.34627758416,218.642394308912
0.132,0.255757704812647,0.28378652587356,-0.930811408365485,-0.732412596920567,-233.21577475962,340.719896221274,238.503927354892
0.144,0.243639194578267,0.276393687598625,-1.09016804795501,-0.497145305597746,-244.262150139734,363.950102745057,254.76507192154
0.156,0.229569399783053,0.271907731074319,-1.25551315045879,-0.248726685277911,-250.718273060199,380.041216688905,266.028851682234
0.168,0.213496805571402,0.270457276767508,-1.42344265000368,0.00795971053949282,-252.428380836448,388.817780468402,272.172446327881
0.18,0.195419675288258,0.27211075487157,-1.58800183907713,0.267634879775822,-240.045784195519,389.000860203013,272.300602142109
0.192,0.175422878646411,0.27687198842475,-1.74350883406064,0.525235295247448,-229.597870564922,383.093712054363,268.165598438054
0.204,0.153585687469172,0.284693704505898,-1.89564968264449,0.777051539989365,-226.237969149962,371.10455994432,259.773191961024
0.216,0.129945604157488,0.295479082779504,-2.04295400144018,1.01833101954233,-214.101009833162,351.52539730192,246.067778111344
0.228,0.104595100418507,0.30907222694027,-2.1801449109786,1.24426712861147,-194.669979324581,325.181418578047,227.626993004633
0.24,0.0776945442330695,0.325262880826337,-2.29987805704512,1.45058300784791,-164.050611343093,292.860745891838,205.002522124286
0.252,0.0494807309560033,0.343792913880649,-2.39941752772049,1.6335718277675,-136.024245771448,255.220767679522,178.654537375665
0.264,0.0201800468388995,0.364361424786558,-2.48084026964483,1.78978681082612,-106.803550304531,212.724550391434,148.907185274004
0.276,-0.00996371054768739,0.386629720376199,-2.5386166267001,1.91649579554163,-66.2903736501121,166.837097851876,116.785968496313
0.288,-0.0406389421418582,0.410230528963048,-2.56981245243436,2.0114890759994,-28.935756382526,117.522961505311,82.2660730537179
0.3,-0.0715464279659735,0.434769731535343,-2.57759254903608,2.07258655917834,5.63895509450353,65.4139035650491,45.7897324955343
0.312,-0.102415596083439,0.459830172418282,-2.56399080899612,2.09808696885236,35.1334693745848,10.8290671151477,7.5803469806034
0.324,-0.133004776606104,0.484976366205508,-2.53121097201208,2.08671317315192,61.9366656695509,-45.2815092244066,-31.6970564570846
0.336,-0.163100445479962,0.509759714481671,-2.48216556983651,2.0375000016989,85.0456693540124,-102.369956428106,-71.6589694996743
0.347103239488115,-0.190341312606588,0.531972917276059,-2.4220345645988,1.95844555102205,110.342821234756,-153.642036538315,-107.549425576821
0.347103239488119,-0.190341312606597,0.531972917276066,-2.42203456459877,1.95844555102201,110.342821234765,-153.642036538332,-107.549425576832
