Time,xm,zm,vxm,vzm,xM,zM,vxM,vzM,NormalForce,TangentialStress,MaximunBendingMoment,MinimunBendingMoment
0,0.170468036338389,0.280014328018974,-0.654111925136112,1.87196396604399,0.330412244359662,0.537996293083175,0.233415193820286,1.8277304305671,0,-176.58,-115.3656,8.2404
0.012,0.156937575625393,0.297830736316936,-1.72078706060937,1.34908222141096,0.333213226685505,0.55922273824998,0.233415193820286,1.7100104305671,-179.733300369272,-238.955296573101,-110.758442122625,56.5102654785452
0.024,0.134816228440542,0.314512222890203,-1.84763666312402,1.20920712869799,0.336014209011349,0.579036543416785,0.233415193820286,1.5922904305671,-2.0320897565152,-170.724351622154,-112.881750040571,6.62529609493676
0.036,0.112597349583999,0.330062115698741,-1.85538186546333,1.11503804210198,0.338815191337192,0.597437708583591,0.233415193820286,1.4745704305671,-1.84016850186805,-170.661234369546,-112.859585633772,6.60327842491045
0.048,0.0902901504603,0.344483444102421,-1.86235540424771,1.02110886886907,0.341616173663036,0.614426233750396,0.233415193820286,1.3568504305671,-1.64629214370324,-170.604405562533,-112.839692489629,6.58339140414363
0.06,0.0679039363106394,0.357778935642456,-1.86854987037838,0.927394332222133,0.344417155988879,0.630002118917201,0.233415193820286,1.2391304305671,-1.45066666769331,-170.553925579388,-112.822072293846,6.56567561172601
0.072,0.0454480963264341,0.369951013143491,-1.87395868248928,0.833868927341459,0.347218138314722,0.644165364084006,0.233415193820286,1.1214104305671,-1.25349991788141,-170.509848053024,-112.806726079917,6.55016755719972
0.084,0.0229320936736933,0.381001792139462,-1.87857609393951,0.740506948462611,0.350019120640566,0.656915969250812,0.233415193820286,1.0036904305671,-1.05500137584608,-170.472219814002,-112.793654386673,6.53689948312835
0.096,-0.00154336630592657,0.390477278418493,-2.24856982078802,0.60920552849753,0.352820102966409,0.668253934417617,0.233415193820286,0.885970430567101,-72.9088785621853,-173.948058817266,-100.013857322166,21.7497838499195
0.108,-0.0295125642283641,0.399054908583765,-2.37301087539044,0.528791879317027,0.355621085292253,0.678179259584422,0.233415193820286,0.768250430567101,-12.9804422204955,-164.684595838124,-109.170633926463,6.10858316022329
0.12,-0.0581039957155116,0.406836282061771,-2.38384983553167,0.461891196659808,0.358422067618096,0.686691944751227,0.233415193820286,0.650530430567101,-0.413636816781633,-163.702666471798,-109.955673044323,4.63619348593576
