time,x,y,vx,vy,NormalForce,TangentialStress,MaximunBengin
0.000000, 0.0453, 0.5953, -1.3150, 1.7841, 0.0000, -76.0275, -53.2193
0.012000, 0.0295, 0.6160, -1.3150, 1.6664, 0.0000, -76.0275, -53.2193
0.024000, 0.0138, 0.6353, -1.3150, 1.5487, 0.0000, -76.0275, -53.2193
0.036000, -0.0020, 0.6531, -1.3150, 1.4309, 0.0000, -76.0275, -53.2193
0.048000, -0.0178, 0.6696, -1.3150, 1.3132, 0.0000, -76.0275, -53.2193
0.060000, -0.0336, 0.6847, -1.3150, 1.1955, 0.0000, -76.0275, -53.2193
0.072000, -0.0494, 0.6983, -1.3150, 1.0778, 0.0000, -76.0275, -53.2193
0.084000, -0.0651, 0.7105, -1.3150, 0.9601, 0.0000, -76.0275, -53.2193
0.096000, -0.0809, 0.7213, -1.3150, 0.8423, 0.0000, -76.0275, -53.2193
0.108000, -0.0967, 0.7307, -1.3150, 0.7246, 0.0000, -76.0275, -53.2193
0.120000, -0.1125, 0.7387, -1.3150, 0.6069, 0.0000, -76.0275, -53.2193
0.132000, -0.1283, 0.7453, -1.3150, 0.4892, 0.0000, -76.0275, -53.2193
0.144000, -0.1440, 0.7505, -1.3150, 0.3715, 0.0000, -76.0275, -53.2193
0.156000, -0.1598, 0.7542, -1.3150, 0.2537, 0.0000, -76.0275, -53.2193
0.168000, -0.1756, 0.7566, -1.3150, 0.1360, 0.0000, -76.0275, -53.2193
0.180000, -0.1914, 0.7575, -1.3150, 0.0183, 0.0000, -76.0275, -53.2193
0.192000, -0.2072, 0.7570, -1.3150, -0.0994, 0.0000, -76.0275, -53.2193
0.204000, -0.2229, 0.7551, -1.3150, -0.2171, 0.0000, -76.0275, -53.2193
0.216000, -0.2387, 0.7518, -1.3150, -0.3349, 0.0000, -76.0275, -53.2193
0.228000, -0.2545, 0.7471, -1.3150, -0.4526, 0.0000, -76.0275, -53.2193
0.240000, -0.2703, 0.7409, -1.3150, -0.5703, 0.0000, -76.0275, -53.2193
0.252000, -0.2861, 0.7334, -1.3150, -0.6880, 0.0000, -76.0275, -53.2193
0.264000, -0.3018, 0.7244, -1.3150, -0.8057, 0.0000, -76.0275, -53.2193
0.276000, -0.3176, 0.7140, -1.3150, -0.9235, 0.0000, -76.0275, -53.2193
0.288000, -0.3334, 0.7023, -1.3150, -1.0412, 0.0000, -76.0275, -53.2193
0.300000, -0.3492, 0.6891, -1.3150, -1.1589, 0.0000, -76.0275, -53.2193
0.312000, -0.3650, 0.6744, -1.3150, -1.2766, 0.0000, -76.0275, -53.2193
0.324000, -0.3807, 0.6584, -1.3150, -1.3943, 0.0000, -76.0275, -53.2193
0.336000, -0.3965, 0.6410, -1.3150, -1.5121, 0.0000, -76.0275, -53.2193
0.348000, -0.4123, 0.6221, -1.3150, -1.6298, 0.0000, -76.0275, -53.2193
0.360000, -0.4281, 0.6019, -1.3150, -1.7475, 0.0000, -76.0275, -53.2193
0.370266, -0.4416, 0.5834, -1.3150, -1.8482, 0.0000, -76.0275, -53.2193
0.370266, -0.4416, 0.5834, -1.3150, -1.8482, 0.0000, -76.0275, -53.2193
