time,x,y,vx,vy,NormalForce,TangentialStress,MaximunBengin
0.000000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0.012000, 0.0120, 0.0120, 0.0120, 0.0120, 0.0120, 0.0120, 0.0120
0.024000, 0.0240, 0.0240, 0.0240, 0.0240, 0.0240, 0.0240, 0.0240
0.036000, 0.0360, 0.0360, 0.0360, 0.0360, 0.0360, 0.0360, 0.0360
0.048000, 0.0480, 0.0480, 0.0480, 0.0480, 0.0480, 0.0480, 0.0480
0.060000, 0.0600, 0.0600, 0.0600, 0.0600, 0.0600, 0.0600, 0.0600
0.072000, 0.0720, 0.0720, 0.0720, 0.0720, 0.0720, 0.0720, 0.0720
0.084000, 0.0840, 0.0840, 0.0840, 0.0840, 0.0840, 0.0840, 0.0840
0.096000, 0.0960, 0.0960, 0.0960, 0.0960, 0.0960, 0.0960, 0.0960
0.108000, 0.1080, 0.1080, 0.1080, 0.1080, 0.1080, 0.1080, 0.1080
0.120000, 0.1200, 0.1200, 0.1200, 0.1200, 0.1200, 0.1200, 0.1200
0.132000, 0.1320, 0.1320, 0.1320, 0.1320, 0.1320, 0.1320, 0.1320
0.144000, 0.1440, 0.1440, 0.1440, 0.1440, 0.1440, 0.1440, 0.1440
0.156000, 0.1560, 0.1560, 0.1560, 0.1560, 0.1560, 0.1560, 0.1560
0.168000, 0.1680, 0.1680, 0.1680, 0.1680, 0.1680, 0.1680, 0.1680
0.180000, 0.1800, 0.1800, 0.1800, 0.1800, 0.1800, 0.1800, 0.1800
0.192000, 0.1920, 0.1920, 0.1920, 0.1920, 0.1920, 0.1920, 0.1920
0.204000, 0.2040, 0.2040, 0.2040, 0.2040, 0.2040, 0.2040, 0.2040
0.216000, 0.2160, 0.2160, 0.2160, 0.2160, 0.2160, 0.2160, 0.2160
0.228000, 0.2280, 0.2280, 0.2280, 0.2280, 0.2280, 0.2280, 0.2280
0.240000, 0.2400, 0.2400, 0.2400, 0.2400, 0.2400, 0.2400, 0.2400
0.240786, 0.2408, 0.2408, 0.2408, 0.2408, 0.2408, 0.2408, 0.2408
0.240786, 0.2408, 0.2408, 0.2408, 0.2408, 0.2408, 0.2408, 0.2408
