time,x,y,vx,vy,NormalForce,TangentialStress,MaximunBengin
0.000000, 0.2970, 0.5179, -1.7232, 2.9811, 0.0000, -76.0275, -53.2193
0.012000, 0.2763, 0.5529, -1.7232, 2.8634, 0.0000, -76.0275, -53.2193
0.024000, 0.2557, 0.5866, -1.7232, 2.7456, 0.0000, -76.0275, -53.2193
0.036000, 0.2350, 0.6188, -1.7232, 2.6279, 0.0000, -76.0275, -53.2193
0.048000, 0.2143, 0.6497, -1.7232, 2.5102, 0.0000, -76.0275, -53.2193
0.060000, 0.1936, 0.6791, -1.7232, 2.3925, 0.0000, -76.0275, -53.2193
0.072000, 0.1730, 0.7071, -1.7232, 2.2748, 0.0000, -76.0275, -53.2193
0.084000, 0.1523, 0.7337, -1.7232, 2.1570, 0.0000, -76.0275, -53.2193
0.096000, 0.1316, 0.7588, -1.7232, 2.0393, 0.0000, -76.0275, -53.2193
0.108000, 0.1109, 0.7826, -1.7232, 1.9216, 0.0000, -76.0275, -53.2193
0.120000, 0.0902, 0.8050, -1.7232, 1.8039, 0.0000, -76.0275, -53.2193
0.132000, 0.0696, 0.8259, -1.7232, 1.6862, 0.0000, -76.0275, -53.2193
0.144000, 0.0489, 0.8454, -1.7232, 1.5684, 0.0000, -76.0275, -53.2193
0.156000, 0.0282, 0.8635, -1.7232, 1.4507, 0.0000, -76.0275, -53.2193
0.168000, 0.0075, 0.8802, -1.7232, 1.3330, 0.0000, -76.0275, -53.2193
0.180000, -0.0131, 0.8955, -1.7232, 1.2153, 0.0000, -76.0275, -53.2193
0.192000, -0.0338, 0.9094, -1.7232, 1.0976, 0.0000, -76.0275, -53.2193
0.204000, -0.0545, 0.9219, -1.7232, 0.9798, 0.0000, -76.0275, -53.2193
0.216000, -0.0752, 0.9329, -1.7232, 0.8621, 0.0000, -76.0275, -53.2193
0.228000, -0.0959, 0.9426, -1.7232, 0.7444, 0.0000, -76.0275, -53.2193
0.240000, -0.1165, 0.9508, -1.7232, 0.6267, 0.0000, -76.0275, -53.2193
0.252000, -0.1372, 0.9576, -1.7232, 0.5090, 0.0000, -76.0275, -53.2193
0.264000, -0.1579, 0.9630, -1.7232, 0.3912, 0.0000, -76.0275, -53.2193
0.276000, -0.1786, 0.9670, -1.7232, 0.2735, 0.0000, -76.0275, -53.2193
0.288000, -0.1993, 0.9696, -1.7232, 0.1558, 0.0000, -76.0275, -53.2193
0.300000, -0.2199, 0.9707, -1.7232, 0.0381, 0.0000, -76.0275, -53.2193
0.312000, -0.2406, 0.9705, -1.7232, -0.0796, 0.0000, -76.0275, -53.2193
0.324000, -0.2613, 0.9688, -1.7232, -0.1974, 0.0000, -76.0275, -53.2193
0.336000, -0.2820, 0.9658, -1.7232, -0.3151, 0.0000, -76.0275, -53.2193
0.348000, -0.3026, 0.9613, -1.7232, -0.4328, 0.0000, -76.0275, -53.2193
0.360000, -0.3233, 0.9554, -1.7232, -0.5505, 0.0000, -76.0275, -53.2193
0.372000, -0.3440, 0.9481, -1.7232, -0.6682, 0.0000, -76.0275, -53.2193
0.384000, -0.3647, 0.9393, -1.7232, -0.7860, 0.0000, -76.0275, -53.2193
0.396000, -0.3854, 0.9292, -1.7232, -0.9037, 0.0000, -76.0275, -53.2193
0.408000, -0.4060, 0.9176, -1.7232, -1.0214, 0.0000, -76.0275, -53.2193
0.420000, -0.4267, 0.9047, -1.7232, -1.1391, 0.0000, -76.0275, -53.2193
0.432000, -0.4474, 0.8903, -1.7232, -1.2568, 0.0000, -76.0275, -53.2193
0.444000, -0.4681, 0.8745, -1.7232, -1.3746, 0.0000, -76.0275, -53.2193
0.456000, -0.4887, 0.8573, -1.7232, -1.4923, 0.0000, -76.0275, -53.2193
0.468000, -0.5094, 0.8387, -1.7232, -1.6100, 0.0000, -76.0275, -53.2193
0.480000, -0.5301, 0.8187, -1.7232, -1.7277, 0.0000, -76.0275, -53.2193
0.492000, -0.5508, 0.7972, -1.7232, -1.8454, 0.0000, -76.0275, -53.2193
0.504000, -0.5715, 0.7744, -1.7232, -1.9632, 0.0000, -76.0275, -53.2193
0.516000, -0.5921, 0.7501, -1.7232, -2.0809, 0.0000, -76.0275, -53.2193
0.528000, -0.6128, 0.7244, -1.7232, -2.1986, 0.0000, -76.0275, -53.2193
0.540000, -0.6335, 0.6973, -1.7232, -2.3163, 0.0000, -76.0275, -53.2193
0.552000, -0.6542, 0.6688, -1.7232, -2.4340, 0.0000, -76.0275, -53.2193
0.564000, -0.6748, 0.6389, -1.7232, -2.5518, 0.0000, -76.0275, -53.2193
0.576000, -0.6955, 0.6076, -1.7232, -2.6695, 0.0000, -76.0275, -53.2193
0.588000, -0.7162, 0.5749, -1.7232, -2.7872, 0.0000, -76.0275, -53.2193
0.600000, -0.7369, 0.5407, -1.7232, -2.9049, 0.0000, -76.0275, -53.2193
