time,x,y,vx,vy,NormalForce,TangentialStress,MaximunBengin
0.000000, 0.0912, 0.5900, -2.4723, 2.6322, 0.0000, 0.0000, 0.0000
0.012000, 0.0616, 0.6209, -2.4723, 2.5145, 0.0000, -0.1177, -0.0824
0.024000, 0.0319, 0.6503, -2.4723, 2.3968, 0.0000, -0.2354, -0.1648
0.036000, 0.0022, 0.6784, -2.4723, 2.2790, 0.0000, -0.3532, -0.2472
0.048000, -0.0274, 0.7050, -2.4723, 2.1613, 0.0000, -0.4709, -0.3296
0.060000, -0.0571, 0.7303, -2.4723, 2.0436, 0.0000, -0.5886, -0.4120
0.072000, -0.0868, 0.7541, -2.4723, 1.9259, 0.0000, -0.7063, -0.4944
0.084000, -0.1165, 0.7765, -2.4723, 1.8082, 0.0000, -0.8240, -0.5768
0.096000, -0.1461, 0.7975, -2.4723, 1.6904, 0.0000, -0.9418, -0.6592
0.108000, -0.1758, 0.8171, -2.4723, 1.5727, 0.0000, -1.0595, -0.7416
0.120000, -0.2055, 0.8352, -2.4723, 1.4550, 0.0000, -1.1772, -0.8240
0.132000, -0.2351, 0.8520, -2.4723, 1.3373, 0.0000, -1.2949, -0.9064
0.144000, -0.2648, 0.8673, -2.4723, 1.2196, 0.0000, -1.4126, -0.9888
0.156000, -0.2945, 0.8812, -2.4723, 1.1018, 0.0000, -1.5304, -1.0713
0.168000, -0.3241, 0.8938, -2.4723, 0.9841, 0.0000, -1.6481, -1.1537
0.180000, -0.3538, 0.9049, -2.4723, 0.8664, 0.0000, -1.7658, -1.2361
0.192000, -0.3835, 0.9146, -2.4723, 0.7487, 0.0000, -1.8835, -1.3185
0.204000, -0.4131, 0.9228, -2.4723, 0.6310, 0.0000, -2.0012, -1.4009
0.216000, -0.4428, 0.9297, -2.4723, 0.5132, 0.0000, -2.1190, -1.4833
0.228000, -0.4725, 0.9351, -2.4723, 0.3955, 0.0000, -2.1851, -1.5295
0.240000, -0.5021, 0.9392, -2.4723, 0.2778, 0.0000, -2.1851, -1.5295
0.252000, -0.5318, 0.9418, -2.4723, 0.1601, 0.0000, -2.1851, -1.5295
