time,x,y,vx,vy,NormalForce,TangentialStress,MaximunBengin
0.000000, -0.0410, 0.5956, -2.2360, 2.0019, 0.0000, -76.0275, -53.2193
0.009260, -0.0617, 0.6137, -2.2360, 1.9110, 0.0000, -76.0275, -53.2193
0.021260, -0.0886, 0.6359, -2.2360, 1.7933, 0.0000, -76.0275, -53.2193
0.033260, -0.1154, 0.6567, -2.2360, 1.6756, 0.0000, -76.0275, -53.2193
0.045260, -0.1422, 0.6761, -2.2360, 1.5579, 0.0000, -76.0275, -53.2193
0.057260, -0.1690, 0.6941, -2.2360, 1.4402, 0.0000, -76.0275, -53.2193
0.069260, -0.1959, 0.7107, -2.2360, 1.3224, 0.0000, -76.0275, -53.2193
0.081260, -0.2227, 0.7259, -2.2360, 1.2047, 0.0000, -76.0275, -53.2193
0.093260, -0.2495, 0.7396, -2.2360, 1.0870, 0.0000, -76.0275, -53.2193
0.105260, -0.2764, 0.7520, -2.2360, 0.9693, 0.0000, -76.0275, -53.2193
0.117260, -0.3032, 0.7629, -2.2360, 0.8516, 0.0000, -76.0275, -53.2193
0.129260, -0.3300, 0.7724, -2.2360, 0.7338, 0.0000, -76.0275, -53.2193
0.141260, -0.3569, 0.7805, -2.2360, 0.6161, 0.0000, -76.0275, -53.2193
0.153260, -0.3837, 0.7872, -2.2360, 0.4984, 0.0000, -76.0275, -53.2193
0.165260, -0.4105, 0.7925, -2.2360, 0.3807, 0.0000, -76.0275, -53.2193
0.177260, -0.4374, 0.7963, -2.2360, 0.2630, 0.0000, -76.0275, -53.2193
0.189260, -0.4642, 0.7988, -2.2360, 0.1452, 0.0000, -76.0275, -53.2193
0.201260, -0.4910, 0.7998, -2.2360, 0.0275, 0.0000, -76.0275, -53.2193
0.213260, -0.5179, 0.7994, -2.2360, -0.0902, 0.0000, -76.0275, -53.2193
0.225260, -0.5447, 0.7976, -2.2360, -0.2079, 0.0000, -76.0275, -53.2193
0.237260, -0.5715, 0.7944, -2.2360, -0.3256, 0.0000, -76.0275, -53.2193
0.249260, -0.5984, 0.7898, -2.2360, -0.4434, 0.0000, -76.0275, -53.2193
0.261260, -0.6252, 0.7838, -2.2360, -0.5611, 0.0000, -76.0275, -53.2193
0.273260, -0.6520, 0.7764, -2.2360, -0.6788, 0.0000, -76.0275, -53.2193
0.285260, -0.6789, 0.7675, -2.2360, -0.7965, 0.0000, -76.0275, -53.2193
0.297260, -0.7057, 0.7572, -2.2360, -0.9142, 0.0000, -76.0275, -53.2193
0.309260, -0.7325, 0.7456, -2.2360, -1.0320, 0.0000, -76.0275, -53.2193
0.321260, -0.7594, 0.7325, -2.2360, -1.1497, 0.0000, -76.0275, -53.2193
0.333260, -0.7862, 0.7180, -2.2360, -1.2674, 0.0000, -76.0275, -53.2193
0.345260, -0.8130, 0.7021, -2.2360, -1.3851, 0.0000, -76.0275, -53.2193
0.357260, -0.8398, 0.6847, -2.2360, -1.5028, 0.0000, -76.0275, -53.2193
0.369260, -0.8667, 0.6660, -2.2360, -1.6206, 0.0000, -76.0275, -53.2193
0.381260, -0.8935, 0.6458, -2.2360, -1.7383, 0.0000, -76.0275, -53.2193
0.393260, -0.9203, 0.6243, -2.2360, -1.8560, 0.0000, -76.0275, -53.2193
0.405260, -0.9472, 0.6013, -2.2360, -1.9737, 0.0000, -76.0275, -53.2193
0.417260, -0.9740, 0.5769, -2.2360, -2.0914, 0.0000, -76.0275, -53.2193
0.422630, -0.9860, 0.5655, -2.2360, -2.1441, 0.0000, -76.0275, -53.2193
0.422630, -0.9860, 0.5655, -2.2360, -2.1441, 0.0000, -76.0275, -53.2193
0.422630, -0.9860, 0.5655, -2.2360, -2.1441, 0.0000, -76.0275, -53.2193
