time,x,y,vx,vy,NormalForce,TangentialStress,MaximunBengin
0.000000, 0.0084, 0.5969, -1.7561, 1.9372, 0.0000, -76.0275, -53.2193
0.002422, 0.0042, 0.6016, -1.7561, 1.9134, 0.0000, -76.0275, -53.2193
0.014422, -0.0169, 0.6239, -1.7561, 1.7957, 0.0000, -76.0275, -53.2193
0.026422, -0.0380, 0.6447, -1.7561, 1.6780, 0.0000, -76.0275, -53.2193
0.038422, -0.0590, 0.6641, -1.7561, 1.5602, 0.0000, -76.0275, -53.2193
0.050422, -0.0801, 0.6821, -1.7561, 1.4425, 0.0000, -76.0275, -53.2193
0.062422, -0.1012, 0.6987, -1.7561, 1.3248, 0.0000, -76.0275, -53.2193
0.074422, -0.1223, 0.7139, -1.7561, 1.2071, 0.0000, -76.0275, -53.2193
0.086422, -0.1433, 0.7277, -1.7561, 1.0894, 0.0000, -76.0275, -53.2193
0.098422, -0.1644, 0.7401, -1.7561, 0.9716, 0.0000, -76.0275, -53.2193
0.110422, -0.1855, 0.7510, -1.7561, 0.8539, 0.0000, -76.0275, -53.2193
0.122422, -0.2066, 0.7606, -1.7561, 0.7362, 0.0000, -76.0275, -53.2193
0.134422, -0.2276, 0.7687, -1.7561, 0.6185, 0.0000, -76.0275, -53.2193
0.146422, -0.2487, 0.7754, -1.7561, 0.5008, 0.0000, -76.0275, -53.2193
0.158422, -0.2698, 0.7807, -1.7561, 0.3830, 0.0000, -76.0275, -53.2193
0.170422, -0.2908, 0.7846, -1.7561, 0.2653, 0.0000, -76.0275, -53.2193
0.182422, -0.3119, 0.7871, -1.7561, 0.1476, 0.0000, -76.0275, -53.2193
0.194422, -0.3330, 0.7882, -1.7561, 0.0299, 0.0000, -76.0275, -53.2193
0.206422, -0.3541, 0.7878, -1.7561, -0.0878, 0.0000, -76.0275, -53.2193
0.218422, -0.3751, 0.7861, -1.7561, -0.2056, 0.0000, -76.0275, -53.2193
0.230422, -0.3962, 0.7829, -1.7561, -0.3233, 0.0000, -76.0275, -53.2193
0.242422, -0.4173, 0.7783, -1.7561, -0.4410, 0.0000, -76.0275, -53.2193
0.254422, -0.4384, 0.7723, -1.7561, -0.5587, 0.0000, -76.0275, -53.2193
0.266422, -0.4594, 0.7649, -1.7561, -0.6764, 0.0000, -76.0275, -53.2193
0.278422, -0.4805, 0.7561, -1.7561, -0.7942, 0.0000, -76.0275, -53.2193
0.290422, -0.5016, 0.7458, -1.7561, -0.9119, 0.0000, -76.0275, -53.2193
0.302422, -0.5227, 0.7342, -1.7561, -1.0296, 0.0000, -76.0275, -53.2193
0.314422, -0.5437, 0.7211, -1.7561, -1.1473, 0.0000, -76.0275, -53.2193
0.326422, -0.5648, 0.7066, -1.7561, -1.2650, 0.0000, -76.0275, -53.2193
0.338422, -0.5859, 0.6908, -1.7561, -1.3828, 0.0000, -76.0275, -53.2193
0.350422, -0.6069, 0.6735, -1.7561, -1.5005, 0.0000, -76.0275, -53.2193
0.362422, -0.6280, 0.6547, -1.7561, -1.6182, 0.0000, -76.0275, -53.2193
0.374422, -0.6491, 0.6346, -1.7561, -1.7359, 0.0000, -76.0275, -53.2193
0.386422, -0.6702, 0.6131, -1.7561, -1.8536, 0.0000, -76.0275, -53.2193
0.398422, -0.6912, 0.5901, -1.7561, -1.9714, 0.0000, -76.0275, -53.2193
0.410422, -0.7123, 0.5658, -1.7561, -2.0891, 0.0000, -76.0275, -53.2193
0.415045, -0.7204, 0.5560, -1.7561, -2.1344, 0.0000, -76.0275, -53.2193
0.415045, -0.7204, 0.5560, -1.7561, -2.1344, 0.0000, -76.0275, -53.2193
0.415045, -0.7204, 0.5560, -1.7561, -2.1344, 0.0000, -76.0275, -53.2193
