time,x,y,vx,vy,NormalForce,TangentialStress,MaximunBengin
0.000000, 0.2299, 0.5509, -1.5163, 2.4920, 0.0000, -76.0275, -53.2193
0.012000, 0.2117, 0.5801, -1.5163, 2.3743, 0.0000, -76.0275, -53.2193
0.024000, 0.1935, 0.6079, -1.5163, 2.2565, 0.0000, -76.0275, -53.2193
0.036000, 0.1753, 0.6343, -1.5163, 2.1388, 0.0000, -76.0275, -53.2193
0.048000, 0.1572, 0.6593, -1.5163, 2.0211, 0.0000, -76.0275, -53.2193
0.060000, 0.1390, 0.6828, -1.5163, 1.9034, 0.0000, -76.0275, -53.2193
0.072000, 0.1208, 0.7049, -1.5163, 1.7857, 0.0000, -76.0275, -53.2193
0.084000, 0.1026, 0.7257, -1.5163, 1.6679, 0.0000, -76.0275, -53.2193
0.096000, 0.0844, 0.7450, -1.5163, 1.5502, 0.0000, -76.0275, -53.2193
0.108000, 0.0662, 0.7629, -1.5163, 1.4325, 0.0000, -76.0275, -53.2193
0.120000, 0.0480, 0.7793, -1.5163, 1.3148, 0.0000, -76.0275, -53.2193
0.132000, 0.0298, 0.7944, -1.5163, 1.1971, 0.0000, -76.0275, -53.2193
0.144000, 0.0116, 0.8081, -1.5163, 1.0793, 0.0000, -76.0275, -53.2193
0.156000, -0.0066, 0.8203, -1.5163, 0.9616, 0.0000, -76.0275, -53.2193
0.168000, -0.0248, 0.8312, -1.5163, 0.8439, 0.0000, -76.0275, -53.2193
0.180000, -0.0430, 0.8406, -1.5163, 0.7262, 0.0000, -76.0275, -53.2193
0.192000, -0.0612, 0.8486, -1.5163, 0.6085, 0.0000, -76.0275, -53.2193
0.204000, -0.0794, 0.8552, -1.5163, 0.4907, 0.0000, -76.0275, -53.2193
0.216000, -0.0976, 0.8604, -1.5163, 0.3730, 0.0000, -76.0275, -53.2193
0.228000, -0.1158, 0.8641, -1.5163, 0.2553, 0.0000, -76.0275, -53.2193
0.240000, -0.1340, 0.8665, -1.5163, 0.1376, 0.0000, -76.0275, -53.2193
0.252000, -0.1522, 0.8674, -1.5163, 0.0199, 0.0000, -76.0275, -53.2193
0.264000, -0.1704, 0.8670, -1.5163, -0.0979, 0.0000, -76.0275, -53.2193
0.276000, -0.1886, 0.8651, -1.5163, -0.2156, 0.0000, -76.0275, -53.2193
0.288000, -0.2068, 0.8618, -1.5163, -0.3333, 0.0000, -76.0275, -53.2193
0.300000, -0.2250, 0.8571, -1.5163, -0.4510, 0.0000, -76.0275, -53.2193
0.312000, -0.2432, 0.8510, -1.5163, -0.5687, 0.0000, -76.0275, -53.2193
0.324000, -0.2614, 0.8434, -1.5163, -0.6865, 0.0000, -76.0275, -53.2193
0.336000, -0.2796, 0.8345, -1.5163, -0.8042, 0.0000, -76.0275, -53.2193
0.348000, -0.2978, 0.8241, -1.5163, -0.9219, 0.0000, -76.0275, -53.2193
0.360000, -0.3159, 0.8124, -1.5163, -1.0396, 0.0000, -76.0275, -53.2193
0.372000, -0.3341, 0.7992, -1.5163, -1.1573, 0.0000, -76.0275, -53.2193
0.384000, -0.3523, 0.7846, -1.5163, -1.2751, 0.0000, -76.0275, -53.2193
0.396000, -0.3705, 0.7686, -1.5163, -1.3928, 0.0000, -76.0275, -53.2193
0.408000, -0.3887, 0.7512, -1.5163, -1.5105, 0.0000, -76.0275, -53.2193
0.420000, -0.4069, 0.7323, -1.5163, -1.6282, 0.0000, -76.0275, -53.2193
0.432000, -0.4251, 0.7121, -1.5163, -1.7459, 0.0000, -76.0275, -53.2193
0.444000, -0.4433, 0.6904, -1.5163, -1.8637, 0.0000, -76.0275, -53.2193
0.456000, -0.4615, 0.6674, -1.5163, -1.9814, 0.0000, -76.0275, -53.2193
0.468000, -0.4797, 0.6429, -1.5163, -2.0991, 0.0000, -76.0275, -53.2193
0.480000, -0.4979, 0.6170, -1.5163, -2.2168, 0.0000, -76.0275, -53.2193
0.492000, -0.5161, 0.5897, -1.5163, -2.3345, 0.0000, -76.0275, -53.2193
0.504000, -0.5343, 0.5610, -1.5163, -2.4523, 0.0000, -76.0275, -53.2193
0.516000, -0.5525, 0.5308, -1.5163, -2.5700, 0.0000, -76.0275, -53.2193
0.528000, -0.5707, 0.4993, -1.5163, -2.6877, 0.0000, -76.0275, -53.2193
0.540000, -0.5889, 0.4663, -1.5163, -2.8054, 0.0000, -76.0275, -53.2193
0.552000, -0.6071, 0.4319, -1.5163, -2.9231, 0.0000, -76.0275, -53.2193
0.556211, -0.6135, 0.4195, -1.5163, -2.9645, 0.0000, -76.0275, -53.2193
0.556211, -0.6135, 0.4195, -1.5163, -2.9645, 0.0000, -76.0275, -53.2193
